Locus,gene,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
MT240944.1,rrn23,genomic DNA,2811,Acanthus ebracteatus,44857-1,Acanthaceae,Acanthus,ebracteatus,,False,Acanthus ebracteatus,241842
MW174172.1,rrn23,genomic DNA,2811,Acanthus ilicifolius,44873-1,Acanthaceae,Acanthus,ilicifolius,,True,Acanthus ilicifolius,328098
MW752129.1,rrn23,genomic DNA,2811,Acanthus ilicifolius,44873-1,Acanthaceae,Acanthus,ilicifolius,,True,Acanthus ilicifolius,328098
NC_070388.1,rrn23,genomic DNA,2815,Acanthus leucostachyus,44881-1,Acanthaceae,Acanthus,leucostachyus,,False,Acanthus leucostachyus,1605257
OM022237.1,rrn23,genomic DNA,2815,Acanthus leucostachyus,44881-1,Acanthaceae,Acanthus,leucostachyus,,False,Acanthus leucostachyus,1605257
OM022238.1,rrn23,genomic DNA,2811,Acanthus mollis,44892-1,Acanthaceae,Acanthus,mollis,,False,Acanthus mollis,76277
NC_070389.1,rrn23,genomic DNA,2811,Acanthus mollis,44892-1,Acanthaceae,Acanthus,mollis,,False,Acanthus mollis,76277
NC_022451.2,rrn23,genomic DNA,2812,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata,175694
KF150644.2,rrn23,genomic DNA,2812,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata,175694
NC_041424.1,rrn23,genomic DNA,2811,Aphelandra knappiae,77139519-1,Acanthaceae,Aphelandra,knappiae,,False,Aphelandra knappiae,2315787
MH909777.1,rrn23,genomic DNA,2811,Aphelandra knappiae,77139519-1,Acanthaceae,Aphelandra,knappiae,,False,Aphelandra knappiae,2315787
MT012822.1,rrn23,genomic DNA,2812,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
MT108381.1,rrn23,genomic DNA,2811,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
NC_063736.1,rrn23,genomic DNA,2811,Avicennia officinalis,861138-1,Acanthaceae,Avicennia,officinalis,,False,Avicennia officinalis,1134458
MW160467.1,rrn23,genomic DNA,2811,Avicennia officinalis,861138-1,Acanthaceae,Avicennia,officinalis,,False,Avicennia officinalis,1134458
ON768801.1,rrn23,genomic DNA,2810,Barleria cristata,45927-1,Acanthaceae,Barleria,cristata,,True,Barleria cristata,489322
NC_070081.1,rrn23,genomic DNA,2810,Barleria cristata,45927-1,Acanthaceae,Barleria,cristata,,True,Barleria cristata,489322
ON768802.1,rrn23,genomic DNA,2810,Barleria lupulina,46059-1,Acanthaceae,Barleria,lupulina,,False,Barleria lupulina,101743
NC_070082.1,rrn23,genomic DNA,2810,Barleria lupulina,46059-1,Acanthaceae,Barleria,lupulina,,False,Barleria lupulina,101743
MK548575.1,rrn23,genomic DNA,2810,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
NC_048478.1,rrn23,genomic DNA,2810,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
NC_070083.1,rrn23,genomic DNA,2810,Barleria repens,46178-1,Acanthaceae,Barleria,repens,,False,Barleria repens,76356
ON768803.1,rrn23,genomic DNA,2810,Barleria repens,46178-1,Acanthaceae,Barleria,repens,,False,Barleria repens,76356
ON768804.1,rrn23,genomic DNA,2814,Barleria siamensis,46214-1,Acanthaceae,Barleria,siamensis,,False,Barleria siamensis,3014869
NC_070084.1,rrn23,genomic DNA,2814,Barleria siamensis,46214-1,Acanthaceae,Barleria,siamensis,,False,Barleria siamensis,3014869
ON768805.1,rrn23,genomic DNA,2810,Barleria strigosa,46236-1,Acanthaceae,Barleria,strigosa,,False,Barleria strigosa,1749380
NC_070085.1,rrn23,genomic DNA,2810,Barleria strigosa,46236-1,Acanthaceae,Barleria,strigosa,,False,Barleria strigosa,1749380
NC_046601.1,rrn23,genomic DNA,2810,Blepharis ciliaris,46492-1,Acanthaceae,Blepharis,ciliaris,,False,Blepharis ciliaris,1569713
MK548576.1,rrn23,genomic DNA,2810,Blepharis ciliaris,46492-1,Acanthaceae,Blepharis,ciliaris,,False,Blepharis ciliaris,1569713
MH778102.1,rrn23,genomic DNA,2811,Clinacanthus nutans,46937-1,Acanthaceae,Clinacanthus,nutans,,False,Clinacanthus nutans,714457
NC_042162.1,rrn23,genomic DNA,2811,Clinacanthus nutans,46937-1,Acanthaceae,Clinacanthus,nutans,,False,Clinacanthus nutans,714457
MK830556.1,rrn23,genomic DNA,2812,Dicliptera acuminata,47439-1,Acanthaceae,Dicliptera,acuminata,,False,Dicliptera acuminata,2565897
NC_056198.1,rrn23,genomic DNA,2812,Dicliptera japonica,47568-1,Acanthaceae,Dicliptera,japonica,,False,Peristrophe japonica,1082503
MW411448.1,rrn23,genomic DNA,2812,Dicliptera japonica,47568-1,Acanthaceae,Dicliptera,japonica,,False,Peristrophe japonica,1082503
MK833946.1,rrn23,genomic DNA,2812,Dicliptera montana,79737-2,Acanthaceae,Dicliptera,montana,,False,Dicliptera montana,2565899
MK848596.1,rrn23,genomic DNA,2812,Dicliptera mucronata,79740-2,Acanthaceae,Dicliptera,mucronata,,False,Dicliptera mucronata,2565901
MK833945.1,rrn23,genomic DNA,2812,Dicliptera peruviana,47637-1,Acanthaceae,Dicliptera,peruviana,,False,Dicliptera peruviana,2565898
OR063946.1,rrn23,genomic DNA,2811,Dicliptera tinctoria,47708-1,Acanthaceae,Dicliptera,tinctoria,,False,Dicliptera tinctoria,3056920
NC_080986.1,rrn23,genomic DNA,2811,Dicliptera tinctoria,47708-1,Acanthaceae,Dicliptera,tinctoria,,False,Dicliptera tinctoria,3056920
MK833947.1,rrn23,genomic DNA,2812,Dicliptera tomentosa,47709-1,Acanthaceae,Dicliptera,tomentosa,,False,Dicliptera ruiziana,2565900
NC_079916.1,rrn23,genomic DNA,2810,Ecbolium viride,48609-1,Acanthaceae,Ecbolium,viride,,False,Ecbolium viride,478911
MW482858.1,rrn23,genomic DNA,2810,Ecbolium viride,48609-1,Acanthaceae,Ecbolium,viride,,False,Ecbolium viride,478911
MH045157.1,rrn23,genomic DNA,2814,Echinacanthus attenuatus,48619-1,Acanthaceae,Echinacanthus,attenuatus,,False,Echinacanthus attenuatus,1204778
NC_039762.1,rrn23,genomic DNA,2814,Echinacanthus attenuatus,48619-1,Acanthaceae,Echinacanthus,attenuatus,,False,Echinacanthus attenuatus,1204778
MF490441.1,rrn23,genomic DNA,2814,Echinacanthus lofuensis,978948-1,Acanthaceae,Echinacanthus,lofuensis,,False,Echinacanthus lofuensis,2029165
NC_035876.1,rrn23,genomic DNA,2814,Echinacanthus lofuensis,978948-1,Acanthaceae,Echinacanthus,lofuensis,,False,Echinacanthus lofuensis,2029165
MH045155.1,rrn23,genomic DNA,2814,Echinacanthus longipes,929098-1,Acanthaceae,Echinacanthus,longipes,,False,Echinacanthus longipes,1279188
NC_039761.1,rrn23,genomic DNA,2814,Echinacanthus longipes,929098-1,Acanthaceae,Echinacanthus,longipes,,False,Echinacanthus longipes,1279188
MH045156.1,rrn23,genomic DNA,2814,Echinacanthus longzhouensis,929099-1,Acanthaceae,Echinacanthus,longzhouensis,,False,Echinacanthus longzhouensis,2079031
NC_039678.1,rrn23,genomic DNA,2814,Echinacanthus longzhouensis,929099-1,Acanthaceae,Echinacanthus,longzhouensis,,False,Echinacanthus longzhouensis,2079031
PV915200.1,rrn23,genomic DNA,2814,Hygrophila polysperma,49756-1,Acanthaceae,Hygrophila,polysperma,,False,Hygrophila polysperma,693374
OQ871461.1,rrn23,genomic DNA,2812,Hygrophila ringens,60454721-2,Acanthaceae,Hygrophila,ringens,,False,Hygrophila ringens,521743
NC_080349.1,rrn23,genomic DNA,2812,Hygrophila ringens,60454721-2,Acanthaceae,Hygrophila,ringens,,False,Hygrophila ringens,521743
OQ984266.1,rrn23,genomic DNA,2812,Hygrophila sp.,30016608-2,Acanthaceae,Hygrophila,,,False,Hygrophila sp. in: eudicots,3054422
ON398071.1,rrn23,genomic DNA,2811,Hypoestes forskaolii,941349-1,Acanthaceae,Hypoestes,forskaolii,,False,Hypoestes forskaolii,13571
NC_070062.1,rrn23,genomic DNA,2811,Hypoestes forskaolii,941349-1,Acanthaceae,Hypoestes,forskaolii,,False,Hypoestes forskaolii,13571
NC_044862.1,rrn23,genomic DNA,2810,Justicia flava,50729-1,Acanthaceae,Justicia,flava,,True,Justicia flava,2038526
MK548577.1,rrn23,genomic DNA,2810,Justicia flava,50729-1,Acanthaceae,Justicia,flava,,True,Justicia flava,2038526
MN848252.1,rrn23,genomic DNA,2818,Justicia gendarussa,50766-1,Acanthaceae,Justicia,gendarussa,,True,Justicia gendarussa,714472
NC_080241.1,rrn23,genomic DNA,2818,Justicia gendarussa,50766-1,Acanthaceae,Justicia,gendarussa,,True,Justicia gendarussa,714472
MN848251.1,rrn23,genomic DNA,2811,Justicia grossa,50819-1,Acanthaceae,Justicia,grossa,,False,Justicia grossa,1685547
NC_080240.1,rrn23,genomic DNA,2811,Justicia grossa,50819-1,Acanthaceae,Justicia,grossa,,False,Justicia grossa,1685547
MN848246.1,rrn23,genomic DNA,2811,Justicia latiflora,50982-1,Acanthaceae,Justicia,latiflora,,False,Justicia latiflora,1685548
NC_080236.1,rrn23,genomic DNA,2811,Justicia latiflora,50982-1,Acanthaceae,Justicia,latiflora,,False,Justicia latiflora,1685548
NC_044668.1,rrn23,genomic DNA,2811,Justicia leptostachya,51000-1,Acanthaceae,Justicia,leptostachya,,True,Justicia leptostachya,1685549
MK389502.2,rrn23,genomic DNA,2811,Justicia leptostachya,51000-1,Acanthaceae,Justicia,leptostachya,,True,Justicia leptostachya,1685549
MN885665.1,rrn23,genomic DNA,2811,Justicia lianshanica,995111-1,Acanthaceae,Justicia,lianshanica,,False,Justicia lianshanica,3040089
NC_080243.1,rrn23,genomic DNA,2811,Justicia lianshanica,995111-1,Acanthaceae,Justicia,lianshanica,,False,Justicia lianshanica,3040089
NC_080238.1,rrn23,genomic DNA,2811,Justicia patentiflora,51299-1,Acanthaceae,Justicia,patentiflora,,False,Justicia patentiflora,1685551
MN848248.1,rrn23,genomic DNA,2811,Justicia patentiflora,51299-1,Acanthaceae,Justicia,patentiflora,,False,Justicia patentiflora,1685551
MN848243.1,rrn23,genomic DNA,2811,Justicia quadrifaria,51438-1,Acanthaceae,Justicia,quadrifaria,,False,Justicia quadrifaria,1685553
NC_080234.1,rrn23,genomic DNA,2811,Justicia quadrifaria,51438-1,Acanthaceae,Justicia,quadrifaria,,False,Justicia quadrifaria,1685553
NC_080239.1,rrn23,genomic DNA,2811,Justicia vagabunda,51797-1,Acanthaceae,Justicia,vagabunda,,False,Justicia vagabunda,1685555
MN848250.1,rrn23,genomic DNA,2811,Justicia vagabunda,51797-1,Acanthaceae,Justicia,vagabunda,,False,Justicia vagabunda,1685555
PQ576719.1,rrn23,genomic DNA,2819,Lepidagathis incurva,52022-1,Acanthaceae,Lepidagathis,incurva,,False,Lepidagathis incurva,1685556
NC_080235.1,rrn23,genomic DNA,2811,Nicoteba betonica,52612-1,Acanthaceae,Nicoteba,betonica,,False,Justicia betonica,141318
MN848244.1,rrn23,genomic DNA,2811,Nicoteba betonica,52612-1,Acanthaceae,Nicoteba,betonica,,False,Justicia betonica,141318
OP546128.1,rrn23,genomic DNA,2811,Pachystachys lutea,52814-1,Acanthaceae,Pachystachys,lutea,,False,Pachystachys lutea,76374
NC_070340.1,rrn23,genomic DNA,2811,Pachystachys lutea,52814-1,Acanthaceae,Pachystachys,lutea,,False,Pachystachys lutea,76374
NC_057986.1,rrn23,genomic DNA,2811,Pseuderanthemum haikangense,53254-1,Acanthaceae,Pseuderanthemum,haikangense,,False,Pseuderanthemum haikangense,2816899
MT747169.1,rrn23,genomic DNA,2811,Pseuderanthemum haikangense,53254-1,Acanthaceae,Pseuderanthemum,haikangense,,False,Pseuderanthemum haikangense,2816899
MN885664.1,rrn23,genomic DNA,2811,Rostellularia humilis,53720-1,Acanthaceae,Rostellularia,humilis,,False,Justicia demissa,1685546
NC_080242.1,rrn23,genomic DNA,2811,Rostellularia humilis,53720-1,Acanthaceae,Rostellularia,humilis,,False,Justicia demissa,1685546
OL449948.1,rrn23,genomic DNA,2811,Rostellularia procumbens,53735-1,Acanthaceae,Rostellularia,procumbens,,False,Rostellularia procumbens,859317
NC_062458.1,rrn23,genomic DNA,2811,Rostellularia procumbens,53735-1,Acanthaceae,Rostellularia,procumbens,,False,Rostellularia procumbens,859317
MK946456.1,rrn23,genomic DNA,2818,Rungia pectinata,54799-1,Acanthaceae,Rungia,pectinata,,False,Rungia pectinata,1205775
NC_064996.1,rrn23,genomic DNA,2811,Staurogyne concinnula,55219-1,Acanthaceae,Staurogyne,concinnula,,False,Staurogyne concinnula,640501
ON553916.1,rrn23,genomic DNA,2811,Staurogyne concinnula,55219-1,Acanthaceae,Staurogyne,concinnula,,False,Staurogyne concinnula,640501
MW044601.1,rrn23,genomic DNA,2814,Strobilanthes biocullata,77112221-1,Acanthaceae,Strobilanthes,biocullata,,False,Strobilanthes biocullata,2824936
NC_060347.1,rrn23,genomic DNA,2814,Strobilanthes biocullata,77112221-1,Acanthaceae,Strobilanthes,biocullata,,False,Strobilanthes biocullata,2824936
NC_084379.1,rrn23,genomic DNA,2814,Strobilanthes dalzielii,55635-1,Acanthaceae,Strobilanthes,dalzielii,,False,Strobilanthes dalzielii,3065487
OR713747.1,rrn23,genomic DNA,2814,Strobilanthes dalzielii,55635-1,Acanthaceae,Strobilanthes,dalzielii,,False,Strobilanthes dalzielii,3065487
NC_066801.1,rrn23,genomic DNA,2814,Strobilanthes lupulina,55793-1,Acanthaceae,Strobilanthes,lupulina,,False,Strobilanthes lupulina,259420
MW802211.1,rrn23,genomic DNA,2814,Strobilanthes lupulina,55793-1,Acanthaceae,Strobilanthes,lupulina,,False,Strobilanthes lupulina,259420
MW802212.1,rrn23,genomic DNA,2814,Strobilanthes sp.,327189-2,Acanthaceae,Strobilanthes,,,False,Strobilanthes sp. RMRNR-2022a,2978118
MW525447.1,rrn23,genomic DNA,2814,Strobilanthes tonkinensis,55986-1,Acanthaceae,Strobilanthes,tonkinensis,,False,Strobilanthes tonkinensis,2792840
NC_059902.1,rrn23,genomic DNA,2814,Strobilanthes tonkinensis,55986-1,Acanthaceae,Strobilanthes,tonkinensis,,False,Strobilanthes tonkinensis,2792840
MZ555773.1,rrn23,genomic DNA,2811,Thunbergia erecta,56259-1,Acanthaceae,Thunbergia,erecta,,True,Thunbergia erecta,76287
MH286322.1,rrn23,genomic DNA,2811,Phaulothamnus spinescens,327318-2,Achatocarpaceae,Phaulothamnus,spinescens,,False,Phaulothamnus spinescens,3600
NC_010093.1,rrn23,genomic DNA,2812,Acorus americanus,84002-1,Acoraceae,Acorus,americanus,,False,Acorus calamus var. americanus,263995
EU273602.1,rrn23,genomic DNA,2812,Acorus americanus,84002-1,Acoraceae,Acorus,americanus,,False,Acorus calamus var. americanus,263995
MT755635.1,rrn23,genomic DNA,2811,Acorus calamus,84009-1,Acoraceae,Acorus,calamus,,False,Acorus calamus,4465
MN175740.1,rrn23,genomic DNA,2809,Acorus gramineus,84019-1,Acoraceae,Acorus,gramineus,,False,Acorus gramineus,55184
MG744576.1,rrn23,genomic DNA,2817,Actinidia arguta,316460-1,Actinidiaceae,Actinidia,arguta,,False,Actinidia arguta,64478
MF521827.1,rrn23,genomic DNA,2816,Actinidia arguta,316460-1,Actinidiaceae,Actinidia,arguta,,False,Actinidia arguta,64478
MK088177.1,rrn23,genomic DNA,2810,Actinidia callosa var. henryi,77249759-1,Actinidiaceae,Actinidia,callosa,henryi,False,Actinidia callosa var. henryi,165782
NC_043861.1,rrn23,genomic DNA,2810,Actinidia callosa var. henryi,77249759-1,Actinidiaceae,Actinidia,callosa,henryi,False,Actinidia callosa var. henryi,165782
MT700484.1,rrn23,genomic DNA,2810,Actinidia callosa var. strigillosa,918174-1,Actinidiaceae,Actinidia,callosa,strigillosa,False,Actinidia callosa var. strigillosa,165785
MT712168.1,rrn23,genomic DNA,2816,Actinidia chinensis,828396-1,Actinidiaceae,Actinidia,chinensis,,False,Actinidia chinensis,3625
KP297245.1,rrn23,genomic DNA,2816,Actinidia chinensis,828396-1,Actinidiaceae,Actinidia,chinensis,,False,Actinidia chinensis,3625
KP297244.1,rrn23,genomic DNA,2816,Actinidia chinensis var. deliciosa,60458895-2,Actinidiaceae,Actinidia,chinensis,deliciosa,False,Actinidia deliciosa,3627
NC_026691.1,rrn23,genomic DNA,2816,Actinidia chinensis var. deliciosa,60458895-2,Actinidiaceae,Actinidia,chinensis,deliciosa,False,Actinidia deliciosa,3627
NC_051881.1,rrn23,genomic DNA,2816,Actinidia chinensis var. setosa,77249955-1,Actinidiaceae,Actinidia,chinensis,setosa,False,Actinidia setosa,64481
MN326319.1,rrn23,genomic DNA,2816,Actinidia chinensis var. setosa,77249955-1,Actinidiaceae,Actinidia,chinensis,setosa,False,Actinidia setosa,64481
MK550716.1,rrn23,genomic DNA,2810,Actinidia cylindrica,903436-1,Actinidiaceae,Actinidia,cylindrica,,False,Actinidia cylindrica,165704
MW038822.1,rrn23,genomic DNA,2810,Actinidia cylindrica var. cylindrica,77227650-1,Actinidiaceae,Actinidia,cylindrica,cylindrica,False,Actinidia cylindrica var. cylindrica,222490
MT982434.1,rrn23,genomic DNA,2810,Actinidia cylindrica var. reticulata,916756-1,Actinidiaceae,Actinidia,cylindrica,reticulata,False,Actinidia cylindrica var. reticulata,165784
NC_034914.1,rrn23,genomic DNA,2810,Actinidia eriantha,828399-1,Actinidiaceae,Actinidia,eriantha,,False,Actinidia eriantha,165200
KY100979.1,rrn23,genomic DNA,2810,Actinidia eriantha,828399-1,Actinidiaceae,Actinidia,eriantha,,False,Actinidia eriantha,165200
MN540960.1,rrn23,genomic DNA,2816,Actinidia fulvicoma,828400-1,Actinidiaceae,Actinidia,fulvicoma,,False,Actinidia fulvicoma,165705
NC_051888.1,rrn23,genomic DNA,2816,Actinidia fulvicoma,828400-1,Actinidiaceae,Actinidia,fulvicoma,,False,Actinidia fulvicoma,165705
NC_051879.1,rrn23,genomic DNA,2816,Actinidia hemsleyana,316468-1,Actinidiaceae,Actinidia,hemsleyana,,False,Actinidia hemsleyana,165707
