Locus,gene,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
AY289642.1,18S ribosomal RNA,genomic DNA,1669,Acanthus ebracteatus,44857-1,Acanthaceae,Acanthus,ebracteatus,,False,Acanthus ebracteatus,241842
XR_007841456.1,18S ribosomal RNA,rRNA,1815,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata,175694
XR_007841455.1,18S ribosomal RNA,rRNA,1812,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata,175694
Y17766.1,18S ribosomal RNA,genomic DNA,1805,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
DQ299963.1,18S ribosomal RNA,genomic DNA,1767,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
AF107567.1,18S ribosomal RNA,genomic DNA,1741,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
AF107568.1,18S ribosomal RNA,genomic DNA,1738,Dianthera americana,78915-2,Acanthaceae,Dianthera,americana,,False,Justicia americana,28522
L49290.1,18S ribosomal RNA,genomic DNA,1735,Pachystachys lutea,52814-1,Acanthaceae,Pachystachys,lutea,,False,Pachystachys lutea,76374
AF107569.1,18S ribosomal RNA,genomic DNA,1739,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata,32198
AF206837.1,18S ribosomal RNA,genomic DNA,1740,Acharia tragodes,674030-1,Achariaceae,Acharia,tragodes,,False,Acharia tragodes,112802
AB233528.1,18S ribosomal RNA,genomic DNA,1736,Camptostylus mannii,365027-1,Achariaceae,Camptostylus,mannii,,False,Camptostylus mannii,179727
AB233529.1,18S ribosomal RNA,genomic DNA,1736,Ceratiosicyos laevis,56878-1,Achariaceae,Ceratiosicyos,laevis,,False,Ceratiosicyos laevis,212226
AB233530.1,18S ribosomal RNA,genomic DNA,1736,Dasylepis racemosa,111549-1,Achariaceae,Dasylepis,racemosa,,False,Dasylepis brevipedicellata,344432
FJ669684.1,18S ribosomal RNA,genomic DNA,1705,Erythrospermum zeylanicum,365338-1,Achariaceae,Erythrospermum,zeylanicum,,False,Erythrospermum zeylanicum,2911382
AF206945.1,18S ribosomal RNA,genomic DNA,1740,Kiggelaria africana,111770-1,Achariaceae,Kiggelaria,africana,,False,Kiggelaria africana,112821
